Guinea-Bissau,274094.0939,230642.4265,234567.9615,235780.3325,231833.7554,239781.2597,248460.3921,256829.0448,254027.6104,259328.8491,247408.2281,251215.1224
Equatorial Guinea,188880.0736,1995022.404,6390131.497,5878278.517,5669146.573,4954568.503,4349970.662,3957007.474,3583274.241,3275755.603,3052269.072,2952350.187
Greece,13993.38537,16802.69083,16334.79994,16039.70339,16223.71278,16298.93448,16287.13004,16497.60704,16806.9212,17141.66846,15631.73365,17041.57681
Grenada,11296.5917,14650.16848,16134.53137,16368.05079,17416.75991,18382.16507,18913.02536,19596.59612,20297.36207,20286.90395,17363.39891,18039.24244
Greenland,153515.1656,181056.6655,250015.8423,248198.573,260836.664,255059.3435,266658.9542,266870.8052,269242.9895,274369.0529,274653.6094,
Guatemala,19901.14582,23260.83095,27164.68465,27677.72845,28412.27099,29078.90672,29366.60347,29782.33145,30308.03022,31033.02046,30025.69911,31945.56783
Guam,,,31642.14626,32049.51692,32528.96271,32712.61713,32700.50966,32940.70199,32665.78926,33524.29073,29598.596,29683.23032
Guyana,491274.0627,779974.9218,1116080.574,1151510.53,1165165.121,1167091.153,1205059.499,1243239.454,1261652.88,1307153.776,1879147.318,2235452.113
High income,,,,,,,,,,,,
"Hong Kong SAR, China",184294.6796,232410.6527,344197.5637,353449.275,360670.8624,366153.0866,371808.4671,382968.2681,390731.8251,381344.7169,357667.1568,383838.2053
Honduras,15448.23945,16022.02284,19654.57083,19823.8031,20055.82697,20452.55772,20875.27923,21508.75645,21957.13199,22164.01145,19852.26289,22000.22474
Heavily indebted poor countries (HIPC),,,,,,,,,,,,
Croatia,,60393.25169,79413.17449,79317.84697,79299.65211,81972.58056,85485.21409,89470.13437,92801.37806,96509.4432,88611.64634,104015.8691
Haiti,67289.83586,55720.3658,56387.22844,57950.63882,58091.00834,58727.8596,58954.64378,59601.80828,59776.65247,57990.21643,55325.81975,53662.83444
Hungary,,2504969.018,3202866.085,3269589.497,3417158.095,3552282.184,3641197.703,3806856.297,4016081.22,4213080.335,4030158.719,4334896.447
IBRD only,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,
IDA total,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,
Indonesia,15480906.62,19253887.18,30880825.58,32204000.54,33426509.73,34669222.28,36030577.97,37478151.7,39038361.27,40615173.64,39443591.81,40616397.78
IDA only,,,,,,,,,,,,
Isle of Man,18368.63495,30327.93335,50404.19502,52612.8185,55488.71222,55474.99193,59433.45716,62123.40273,63350.6416,63392.53929,,
India,28887.8443,40832.37443,72288.02816,75912.9922,80533.19372,85945.88413,91945.75745,97065.60388,102212.4189,104951.4221,97096.8089,104688.0792
Not classified,,,,,,,,,,,,
Ireland,20892.96847,37943.02862,41840.45641,42089.24209,45396.6224,55929.03423,56410.94287,60825.1354,65199.26218,67812.91459,71269.6002,80185.34342
"Iran, Islamic Rep.",109105698.3,127407215.1,168031872.3,163081783.9,167993422.9,161896240.7,172962942.2,175212679.8,169038282.6,162745482.4,166766748,173379997.9
Iraq,3865751.451,4556094.366,4801127.658,4931842.206,4771487.267,4863000.198,5399049.497,5177285.484,5186727.186,5344620.227,4628747.051,4650851.734
Iceland,,5563627.343,6489288.963,6720838.2,6758623.383,6985317.434,7323287.993,7453599.321,7611392.645,7625701.27,6989556.023,7178658.488
Israel,,113967.1049,134061.3908,137392.9774,140063.041,140728.7174,144236.583,147517.1428,150592.0943,153885.0518,148386.6813,158602.9795
Italy,24777.20833,29157.7544,28106.53097,27271.09138,27020.79352,27257.35446,27656.8629,28160.31014,28475.09076,28944.5036,26456.48887,28396.19908
Jamaica,271415.6479,296521.1092,303348.7365,303455.4108,304296.2526,306012.1062,309307.2917,311759.5365,317260.7923,319871.2192,287203.9997,299644.1848
Jordan,2398.200468,2616.211612,3541.400264,3405.758287,3129.296557,2924.921971,2842.417372,2841.237759,2828.078915,2818.240883,2715.619385,2721.453395
Japan,3440339.095,3804490.122,4057207.51,4144533.67,4162329.516,4231776.532,4265857.687,4340877.563,4371774.636,4367397.396,4182850.602,4271766.388
Kazakhstan,408382.2016,311409.2012,688006.5956,718864.4966,738106.493,736126.396,733715.4743,753477.6026,774126.9305,798597.1721,768586.0225,791285.2988
Kenya,136538.252,123388.7127,145645.0683,147576.7479,151470.1028,155534.5265,158557.6015,161099.5123,166773.5732,171868.4355,168027.4875,177182.8169
Kyrgyz Republic,50386.79251,30074.99239,41605.30632,45239.85821,46125.65326,46936.94096,47984.48208,49296.42191,50140.9727,51364.0791,46165.80545,47032.81791
Cambodia,,1162044.971,2362497.21,2500274.752,2641674.712,2787803.827,2941584.835,3106427.586,3297922.569,3490805.518,3343715.06,3405003.953
Kiribati,1517.491081,1531.083241,1397.245964,1433.648101,1397.288342,1512.482542,1482.311645,1455.969492,1508.95216,1476.891686,1443.005464,1437.249562
St. Kitts and Nevis,22897.18476,31721.69552,39843.82635,42081.88708,45249.74366,45571.45846,47364.61036,47370.9323,48367.49649,50376.8444,43119.30649,42772.33962
"Korea, Rep.",10593736.78,19221170.15,30174124.22,30987664.16,31779776.87,32500678.67,33325917.94,34282437.43,35126555.45,35790066.08,35487206.16,37023520.94
Kuwait,,10925.98536,11390.52684,10725.68406,10449.66695,10115.88636,10053.46973,9401.333946,9201.247619,8895.145508,8257.420781,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,
Lao PDR,4473549.976,6470828.624,12538382.3,13356091.29,14177909.36,14993622.76,15804565.8,16636664.88,17409696.77,18087360.15,17911742.47,18103287.12
Lebanon,3535023.792,7664725.562,11578262.65,10961934.25,10168006.19,10016111.67,10399873.71,10737460.34,10835658.8,10354054.09,8309291.099,7824662.704
Liberia,,816.6602999,728.2612068,774.4405467,763.9821277,748.4501431,722.1312268,725.8961759,720.3680786,689.0792088,655.0855377,673.7376709
Libya,,16765.59084,19907.57887,16010.00197,12093.44934,11808.59577,11465.95872,14962.65205,15902.73107,13926.0427,10458.4771,13573.63624
