Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Chad,298.3670792,168.1176528,969.6162149,980.083592,1017.787824,774.4116005,691.9800949,662.89753,720.265047,701.6212166,643.7722213,685.6902841
Channel Islands,..,44316.15359,..,..,..,..,..,..,..,..,..,..
Chile,2481.766875,5097.114937,15406.49294,15833.2752,14666.34353,13569.9478,13785.68833,15045.52768,15795.70846,14631.94688,13094.45953,16265.09598
China,317.884673,959.3724836,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312
Colombia,1467.547436,2547.143528,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183,5307.215228,6104.136709
Comoros,996.5279836,654.1804099,1483.95138,1595.989896,1608.687864,1322.936695,1357.266263,1414.586566,1531.337972,1510.797358,1519.586823,1577.471027
"Congo, Dem. Rep.",259.8055972,392.6263338,412.7762682,444.864361,472.266227,482.0645483,456.0279312,451.0890984,546.2125939,575.8827908,524.6666754,577.2092152
"Congo, Rep.",1173.264436,1029.960689,3753.861207,3719.651217,3622.530293,2347.818499,1970.250249,2088.500117,2512.383979,2288.808138,1838.448139,2290.382891
Costa Rica,1808.495959,3773.033793,9971.650902,10633.26725,10737.67888,11529.95453,11899.81326,12118.13341,12383.14997,12669.34107,12132.87688,12472.44373
Cote d'Ivoire,906.4114731,986.7773209,1649.301739,1903.054321,2124.019559,1941.566336,1980.878142,2076.148,2275.49595,2238.811005,2288.119498,2549.041297
Croatia,..,4880.568982,13443.13523,13871.3299,13784.47836,11952.31118,12552.25538,13655.81594,15244.43105,15331.88305,14198.75396,17685.32528
Cuba,2695.614865,2752.203783,6467.337914,6814.243844,7117.52691,7683.757891,8055.889907,8543.360968,8831.907222,9139.415856,9499.590202,..
Curacao,..,..,19886.67837,19762.73962,19552.66055,19260.26985,18881.83062,18788.80728,18956.09797,19024.17715,16109.86175,17717.59648
Cyprus,9641.575195,14388.34766,28993.34961,27799.11914,27245.36523,23487.125,24715.73047,26697.17188,29418.93555,29417.13867,28036.18945,31551.81641
Czechia,3941.503094,6029.038193,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26821.24523
Denmark,26891.44645,30743.54768,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667
Djibouti,783.6958542,742.8656972,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2917.996281,3150.436729
Dominica,2899.060601,4879.149773,7054.875977,7240.679119,7498.917522,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7653.17187
Dominican Republic,992.2389642,2845.839167,6049.471741,6171.29557,6533.66686,6838.936594,7191.076572,7513.491343,7947.158207,8173.338007,7167.919159,8476.752157
Ecuador,1458.326872,1451.530885,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871
"Egypt, Arab Rep.",751.1874902,1398.859831,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2315.896627,2407.086543,2869.576588,3398.801432,3698.834981
El Salvador,897.5929821,1977.840614,3471.051269,3555.1621,3638.517658,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3903.395839,4551.184661
Equatorial Guinea,240.8326654,1527.056378,18756.42642,17644.59516,16804.92595,9788.983771,8035.30787,8410.39725,8719.186217,7317.390189,6327.599012,7506.667523
Eritrea,..,295.196924,..,..,..,..,..,..,..,..,..,..
Estonia,..,4070.609024,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122
Eswatini,1305.256125,1686.664337,4396.562519,4111.109647,3928.506828,3583.31129,3339.992899,3824.046783,4020.27305,3843.377391,3372.895601,3978.403528
Ethiopia,254.2952546,122.9622935,458.5509208,490.791804,557.5341484,630.3126821,705.616305,755.7517677,758.2990596,840.4494515,918.6525941,925.077428
Faroe Islands,..,23370.90099,50156.85097,55560.25174,60125.77212,52726.74224,56834.06851,59328.17477,62576.98993,63383.19615,61980.29002,69010.3098
Fiji,1713.189885,2015.881172,4359.77535,4586.897921,5305.190923,5105.262627,5368.42324,5825.129207,6073.336388,5968.300559,4864.117047,4646.612723
Finland,28364.64508,24345.91482,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49170.75215,53654.7503
France,21865.55525,22416.42542,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293,43658.97898
French Polynesia,15728.7188,14346.19048,19864.53805,20941.52223,21223.08376,18252.51997,18726.64225,19743.95491,20614.89886,20023.5047,18910.38013,19914.60351
Gabon,6055.060248,3991.157022,9348.515572,9250.081564,9255.368597,7090.45461,6722.198393,6975.695793,7694.906045,7523.862278,6680.08267,8635.325694
"Gambia, The",304.7073786,544.6220259,686.5582854,647.3853005,561.6491232,611.6713342,640.6766789,632.0011462,683.3243631,722.8747931,704.029916,772.1523951
Georgia,1614.640122,749.908535,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,4255.742993,5023.27438
Germany,22303.96133,23694.76048,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447
Ghana,381.2508376,253.3891282,1536.591848,2282.349905,1942.9051,1711.290666,1900.405937,1998.73798,2180.04157,2167.911589,2176.579459,2363.299296
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..
Greece,9600.185235,12072.92936,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19144.28439,17658.9473,20192.5963
Greenland,18326.80512,19004.10729,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,54571.20916,..
Grenada,2807.745444,4840.684064,6900.771786,7205.268384,7726.409657,8379.621847,8849.513535,9309.230667,9574.279873,9887.920742,8437.566732,9010.572245
Guam,..,..,31642.14626,32318.8909,33483.94144,34522.37793,35052.80791,35663.02504,35902.7259,37752.63308,34780.86166,35904.86355
Guatemala,845.3069621,1664.298958,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4485.731255,4647.693347,4604.576679,5025.542291
Guinea,419.6867849,359.2866735,707.9676808,757.6922692,774.569037,756.4255941,720.4732536,843.4642789,944.4172662,1043.899882,1073.659337,1189.175999
